name,description,timestamp,operatingSystem.id,operatingSystem.displayName,cpuCount,memoryGb,disk.sizeGb,disk.speed,networkInfo.primaryNic.id,networkInfo.primaryNic.vlanId,networkInfo.primaryNic.privateIpv4,networkInfo.networkDomainId,sourceImageId,id,datacenterId
Justicia en la Nube - DB,Memoria: 16 GB ? Disco: 60 GB ? Procesador: 8 núcleos ? Sistema Operativo: CentOS 7 o Red Hat Enterprise 7,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,8,16,NULL,NULL,NULL,NULL,NULL,NULL,4f356603-d007-4bef-946b-bd8eecc08be3,21c9f373-9271-438f-a549-f5e6eca21c6e,NA3
ID en la Nube - Motor biometrico,Memoria 16GB RAM · 10GB HD · 2 procesadores quad core Intel® Xeon® E5-2609, equivalente y/o superior · Windows Server 2012,2015-11-17T19:39:07.046Z,WIN2012R2S64,WIN2012R2S/64,2,16,NULL,NULL,NULL,NULL,NULL,NULL,0c213a97-03ea-4918-beab-dabec2212aff,7f8aa4b5-8914-4378-9bcd-7376331d4b57,NA3
Justicia en la Nube - Aplicaciones ,Memoria: 16 GB ? Disco: 60 GB ? Procesador: 8 núcleos ? Sistema Operativo: CentOS 7 o Red Hat Enterprise 7,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,8,16,NULL,NULL,NULL,NULL,NULL,NULL,4f356603-d007-4bef-946b-bd8eecc08be3,5fe4fd0e-e072-46c8-989b-bf468f27beff,NA3
ID en la Nube - Bioserver y Motor Facial,16GB RAM · 10GB HD · 2 procesadores quad core Intel® Xeon® E5-2609, equivalente y/o superior · Windows Server 2012,2015-11-17T19:39:07.046Z,WIN2012R2S64,WIN2012R2S/64,2,16,NULL,NULL,NULL,NULL,NULL,NULL,0c213a97-03ea-4918-beab-dabec2212aff,9f4a2eee-e7df-42f1-8ffc-50f48f1b6673,NA3
VPN Incoming Server,,2015-11-17T19:39:07.046Z,UBUNTU1464,UBUNTU14/64,2,4,NULL,NULL,NULL,NULL,NULL,NULL,d19f88bb-eb1d-48cc-9dc9-b6b218f911b7,c5361052-0399-42cf-b0e5-9f98eb21097f,NA3
DT-CentOS Source,,2015-11-17T19:39:07.046Z,CENTOS664,CENTOS6/64,2,4,NULL,NULL,e947c3b7-c19b-49ce-8e05-e76d1d5ce95f,d2604aba-6f3c-4384-bfe6-0d86508ae06c,10.0.0.10,a48fd2f8-bb3c-4200-85ba-20d19421f199,9571c461-1ae1-456f-aed3-26b10f9b0374,b336ec9e-660c-4b9a-aeca-2661419975ed,NA9
mapr-01,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,4,8,NULL,NULL,a783139c-4a32-45f0-85c1-2daa8c2dc1b2,bf128a09-097a-46db-966e-620aa3deb55d,10.192.11.8,b6c2afb2-07a9-4d9e-a118-b0c949a1e8f5,615b403b-8c8e-4f61-9617-cab968728dfb,b6582c9e-7560-4ddc-90b9-947a54e62eb0,NA9
Hdp2.3-node1,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,4,8,NULL,NULL,NULL,NULL,NULL,NULL,ba663639-16d3-4e74-a29c-cdfd61b6e0f2,92a3d974-efcc-4116-8ddb-88a7aadbbb94,NA5
hdpsandbox,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,4,8,NULL,NULL,NULL,NULL,NULL,NULL,542c8764-d6e9-42da-a54f-f2e6a4e7d9cd,8c35bea9-0c80-4831-a461-40be496fd701,NA5
DT-RH5-testtarget,,2015-11-17T19:39:07.046Z,REDHAT564,REDHAT5/64,2,4,NULL,NULL,e43514ff-1630-43dc-af69-aa69753f1ac9,3bb956f0-d5b8-4e2b-bd7c-e6709c6a2c8f,172.16.0.10,a48fd2f8-bb3c-4200-85ba-20d19421f199,adb96e79-c318-47e3-a977-c224950f06ea,60a2eb3d-3a30-43b4-9c61-92cef2ee14f5,NA9
DT-source-unbuntu14,,2015-11-17T19:39:07.046Z,UBUNTU1264,UBUNTU12/64,2,4,NULL,NULL,7466b952-2e02-4bfe-a4db-8f5a69fac836,d2604aba-6f3c-4384-bfe6-0d86508ae06c,10.0.0.11,a48fd2f8-bb3c-4200-85ba-20d19421f199,653afa6a-e47d-4483-8312-53618dc26666,563dbfd2-0ef7-43eb-b7be-7bdd00d839a9,NA9
Ubuntu12target,,2015-11-17T19:39:07.046Z,UBUNTU1264,UBUNTU12/64,2,4,NULL,NULL,d02f86e8-3df9-4686-a601-ca655acd4c07,3bb956f0-d5b8-4e2b-bd7c-e6709c6a2c8f,172.16.0.11,a48fd2f8-bb3c-4200-85ba-20d19421f199,653afa6a-e47d-4483-8312-53618dc26666,11fb3f44-9845-415d-ac52-ab3ad8c7a509,NA9
Tableau Server - Demo,,2015-11-17T19:39:07.046Z,WIN2012R2S64,WIN2012R2S/64,8,32,NULL,NULL,NULL,NULL,NULL,NULL,808a8fba-ac45-4765-933f-4e7df24868b4,db7c83c7-da2c-41fc-8c9b-9d5f935e5363,NA5
